,MP ID,Breed,Gender,Age (years),KIT Pattern,KIT 11,Ki67,AgNOR,AgNOR x Ki67,Slides,Kiupel,Patnaik,Lage,Scanned ,QF,Age (y),Validated,HE- Scanned ,Annotated,Für Kit 11-Gruppe,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,MP-21-0009973,Mixed ,Fs,12,2.0,pos,31.4,2.7,84.78,4,High,2.0,,x,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MP-21-0009594,Mixed ,Mc,11,2.0,pos,18.4,1.43,26.37,4,High,2.0,,x,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MP-21-0009589,Boxer,Mc,6,2.0,pos,13.4,2.57,34.39,4,High,3.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MP-21-0009587,?,?,?,2.0,pos,17.8,3.2,56.96,4,High,2.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MP-21-0009586,Vizsla,Mc,11,2.0,pos,36,3.7,133.2,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MP-21-0009548,Rat Terrier,Fs,?,2.0,pos,39.8,3.1,123.38,4,High,3.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MP-21-0009514,Mixed ,Mc,11,2.0,pos,14,1.8,25.2,4,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MP-21-0009475,American Pit Bull,Mc,7,2.0,pos,40.4,3.47,140.18,4,High,3.0,,x,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MP-21-0009290,?,Fs,11,2.0,pos,50,2.8,140.5,4,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MP-21-0009274,?,Mc,9,1.0,pos,5,1.6,7.8,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MP-21-0009235,Lhasa Apso,Mc,11,2.0,pos,60,2.6,156.3,4,High,3.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MP-21-0009212,French Bulldog,Fs,8,2.0,pos,28,2.6,73.9,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MP-21-0009179,?,?,?,2.0,pos,36,3.2,116,4,High,3.0,sc,x,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MP-21-0009134,Bulldog,Fs,11,2.0,pos,70,2.7,189.8,4,High,3.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MP-21-0009115,?,Fs,5,2.0,pos,50,2.8,141.3,4,High,2.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MP-21-0009113,Labrador,Fs,12,2.0,pos,30,2.8,84.5,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MP-21-0009050,?,M,9,2.0,pos,4,2.07,8.28,4,Low,2.0,sc,x,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MP-21-0008988,French Bulldog,M,8,2.0,pos,9.2,1.8,16.56,4,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MP-21-0008894,Tibetan Terrier,Mc,10,2.0,pos,22.6,2.57,58.01,4,High,3.0,,x,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MP-21-0007896,?,Fs,4,2.0,pos,45,2.8,124.7,4,Low,2.0,,x ,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MP-21-0006811,Mixed,Mc,6,3.0,pos,?,?,?,2,High,3.0,,x,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MP-21-0006757,Golden Retriever,Fs,5,2.0,pos,27.6,4.47,123.33,4,High,3.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MP-21-0006365,?,Fs,7,2.0,pos,75,2,153.5,4,High,3.0,,x,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MP-21-0006280,Boxer,Fs,7,2.0,pos,32,3,94.6,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MP-21-0005744,?,Fs,5,1.0,pos,11,1.6,17.6,4,Low,2.0,,x,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MP-21-0005500,Poodle,Mc,13,2.0,pos,5,1.73,8.67,4,Low,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MP-21-0005475,Mixed ,Fs,9,2.0,pos,14.4,1.33,19.15,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MP-21-0005446,Great Dane,Fs,7,2.0,pos,18,2.36,42.6,4,High,3.0,,x,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MP-21-0005077,?,?,?,1.0,pos,18,2,35.8,4,Low,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MP-21-0005067,Mixed ,Fs,12,1.0,pos,12,2.5,27.1,4,Low,2.0,,x,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MP-21-0005039,Mixed,Mc,10,2.0,pos,80,2.8,222.3,4,High,2.0,sc,x,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MP-21-0005027,?,?,?,2.0,pos,45,3,135,4,High,3.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MP-21-0005024,Maltese Dog,Fs,14,2.0,pos,75,3.2,242.8,4,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MP-21-0004823,?,Mc,9,2.0,pos,9.2,1.53,14.12,4,High,2.0,,x,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MP-21-0003988,Mixed,Mc,12,1.0,pos,15,2,29.6,4,Low,2.0,,x,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MP-21-0002781,Labrador ,Mc,6,2.0,pos,54,2.8,151.2,4,High,2.0,,x,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MP-21-0002779,?,Fs,8,2.0,pos,37,3,111,4,High,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MP-21-0002713,Mixed,Mc,8,2.0,pos,36,2.7,97.2,4,High,2.0,,x,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MP-21-0002671,Yorkshire Terrier,Fs,11,2.0,pos,31,2.7,83.7,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MP-21-0002609,?,?,?,2.0,pos,36,2.7,97.2,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MP-21-0001784,Labrador,Mc,12,2.0,pos,36,3.1,110.2,4,High,2.0,,x,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MP-21-0001757,Golden Retriver,F,5,2.0,pos,30,3,90,4,High,2.0,,x,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MP-21-0001718,Maltese Dog,Fs,13,2.0,pos,26,2.8,79.9,4,Low,2.0,,x,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MP-21-0001688,?,?,?,2.0,pos,30,2.8,85.1,4,High,3.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MP-21-0001291,?,Mc,12,2.0,pos,20,3.16,63.33,4,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MP-21-0001088,Flat-Coated Retriever,F,?,3.0,pos,26,5.4,140.4,4,High,2.0,,x,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MP-21-0001084,Springer Spaniel,Fs,8,2.0,pos,27,2.9,78.3,4,Low,2.0,,x,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MP-21-0001055,Rhodesian Ridgeback,Fs,5,1.0,pos,15,1.8,27.3,4,Low,2.0,,x,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MP-21-0001023,?,?,?,2.0,pos,40,2.8,112.2,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MP-21-0001019 B,Labrador,Mc,10,1.0,pos,15,2.1,31.5,4,Low,2.0,,x,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MP-21-0000969,Labrador,Mc,?,2.0,pos,34,3,100.5,4,High,3.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MP-21-0000895,Mixed,Fs,9,2.0,pos,40,2.8,112.9,4,Low,2.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,MP-21-0000490,Shih tzu,Mc,7,2.0,pos,6.4,1.5,9.6,4,High,2.0,,x,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,MP-21-0000400,Mixed,Mc,4,2.0,pos,3,1.7,5.1,4,Low,2.0,,x,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,MP-21-0000379,Yorkshire Terrier,Fs,2,2.0,pos,5.6,1.43,8.03,4,Low,2.0,,x,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,MP-21-0000375,?,?,?,2.0,pos,14,2.3,32.2,4,High,3.0,,x,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,MP-21-0000305,?,?,?,2.0,pos,12,2.67,32.04,4,High,3.0,,x,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,MP-21-0000146,?,?,?,2.0,pos,8.2,2.37,19.43,4,Low,2.0,,x,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,MP-20-0015808,Boxer,Fs,10,2.0,pos,60,2.8,167.3,4,Low,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,MP-20-0015628,Mixed,Fs,9,2.0,pos,24,2.9,69.6,4,High,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,MP-20-0015275,Chihuahua,?,?,2.0,pos,42,3.1,128.5,4,High,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,MP-20-0015272,Boxer,Mc,9,2.0,pos,60,3.1,187.7,4,High,3.0,sc,x,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,MP-20-0015231,Labrador,Mc,7,2.0,pos,30,2.7,79.7,4,High,2.0,,x,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,MP-20-0015012,?,?,?,2.0,pos,3.4,1.97,6.69,4,Low,2.0,sc,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,IH-20-0014949,Mixed,Mc,7,2.0,pos,?,?,?,2,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,MP-20-0014785,?,?,?,2.0,pos,8.4,2.43,20.44,4,Low,1.0,,x,"""0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,MP-20-0014732,Mixed ,Fs,10,2.0,pos,23.6,2.47,58.21,4,High,3.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,MP-20-0014002,Shiba Inu,Fs,12,2.0,pos,30,2.7,80.9,4,Low,2.0,,x,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,MP-20-0013991,Bichon Frisé,Mc,12,2.0,pos,36,2.5,91.6,4,High,2.0,,x,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,MP-20-0013951,Dachshund,Mc,13,2.0,pos,60,2.8,169.1,4,Low,2.0,sc,x,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,MP-20-0013949,Shih TzufS,Fs,12,2.0,pos,60,2.8,168,4,High,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,MP-20-0013853,Boxer,Fs,4,2.0,pos,38,3.2,120.5,4,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,MP-20-0013838,Rhodesian Ridgeback,Mc,10,2.0,pos,45,3,134.4,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,MP-20-0013067,?,?,?,2.0,pos,36,3,109.1,4,Low,1.0,,x,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,MP-20-0012825,Mixed ,?,?,2.0,pos,40,2.8,110.8,4,Low,2.0,,x,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,MP-20-0011820,Mixed,Fs,16,2.0,pos,36,2.9,102.8,4,High,3.0,sc,x,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,MP-20-0011816,Great Dane,Fs,6,2.0,pos,25,2.6,66.7,4,High,2.0,,x,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,MP-20-0011509,?,?,?,2.0,pos,30,2.8,83.4,4,Low,2.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,MP-20-0008713,Labrador,Fs,7,2.0,pos,24.5,3.2,78.4,4,Low,2.0,,x,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,MP-20-0008560,Mixed ,Mc,11,2.0,pos,47,3.6,169.2,4,High,3.0,,x,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,MP-19-0013692,Labrador ,Fs,8,2.0,DELETION,41,3.9,159.9,4,High,3.0,sc,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,MP-19-0013630,?,?,?,2.0,pos,9,1.8,16.2,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,MP-19-0013598,Labrador ,Fs,9,2.0,pos,14,2.2,30.8,4,High,3.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,MP-19-0013558,Mixed,Fs,8,2.0,pos,18,1.8,32.4,4,Low,2.0,,x,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,MP-19-0006084,Golden Retriever,Fs,6,1.0,pos,10,2.1,21,4,Low,2.0,sc,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,MP-19-0006142,Mixed ,Mc,12,2.0,pos,44,2.6,114.4,4,High,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,MP-19-0006053,Mixed ,Mc,11,2.0,pos,18,2.4,43.2,4,Low,2.0,,x,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,MP-19-0005121,?,?,?,1.0,pos,9,2.1,18.9,4,Low,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,MP-19-0004982,?,?,11,2.0,pos,29,2.6,75.4,4,High,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,MP-19-0004914,Maltese Dog,Mc,8,1.0,pos,22,2.1,46.2,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,MP-19-0004795,?,?,?,1.0,pos,7,1.5,10.5,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,MP-19-0004782,Golden Retriver,Mc,5,2.0,pos,15.6,1.9,29.64,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,MP-19-0004680,Mixed ,Fs,5,2.0,pos,25.4,2.09,53,4,Low,2.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,MP-19-0004621,?,?,?,1.0,pos,28.2,2.12,59.78,4,Low,2.0,,x,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,MP-19-0004535,Bernese Mountain Dog,Fs,10,2.0,pos,67,2.12,142,4,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,MP-19-0004525,?,?,?,2.0,pos,41.8,2.12,88.61,4,Low,1.0,,x,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,MP-21-0013711 ,Bulldog,Fs,,2,pos,65,,1.6,104,High,2.0,,,,10,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MP-21-0013300 ,Doberman Pinscher,Fs,,2,pos,47,2.5,117.5,4,Low,2.0,,,,6,,x,Als 20-13300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MP-21-0013235,Bernese Mountain Dog,Fs,,2,pos,10,2.0,20.0,4,High,2.0,,,,7,sc,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MP-21-0013187 ,Golden Retriever,F ,,2,pos,76,2.9,255.4,3,Low,2.0,,,,8,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MP-21-0013159 ,Affenpinscher,?,,2,pos,196,3.2,627.2,4,High,3.0,,,,6,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MP-21-0013158 ,?,Fs,,2,pos,38,2.0,76.0,4,High,2.0,,,,8,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MP-21-0013151,?,Mc,,2,pos,85,3.2,272.0,4,High,3.0,,,,10,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MP-21-0013078-1,Mixed ,Fs,,2,pos,48,2.0,96.0,4,Low,2.0,,,,?,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MP-21-0013078-2,Mixed ,Fs,,2,pos,29,2.2,63.8,4,High,2.0,,,,?,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MP-21-0012910 ,Labrador ,Fs,,2,pos,7,1.8,12.6,4,Low,2.0,,,,10,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MP-21-0012901 ,Yorkshire Terrier,Mc,,2,pos,9,1.4,12.6,4,Low,2.0,,,,11,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MP-21-0012871,?,?,,2,pos,31,1.8,55.8,4,Low,1.0,,,,?,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MP-21-0012049 ,"Poodle, Toy",Fs,,2,pos,48,2.5,120.0,4,High,2.0,,,,12,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MP-21-0011216,Mixed ,Fs,,2,pos,47,1.9,89.3,4,High,2.0,,,,12,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MP-21-0011186 ,Labrador ,Fs,,2,pos,47,2.0,94.0,4,High,2.0,,,,12,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MP-21-0011163 ,?,?,,2,pos,100,2.9,290.0,4,High,2.0,,,,9,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MP-21-0011052 ,Labrador ,Fs,,2,pos,175,2.4,420.0,4,High,2.0,,,,4,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MP-21-0010964,Mixed ,Fs,,2,pos,4,1.6,6.4,2,Low,2.0,,,,11,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MP-21-0010878,?,?,,2,pos,60,3.1,186.0,4,Low,2.0,,,,?,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MP-21-0007582 ,Mixed ,Mc,,2,pos,83,3.6,298.8,1,High,3.0,,,,8,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MP-21-0004476 ,American Pit Bull ,Fs,,2,pos,57,3.0,171.0,4,High,2.0,,,,2,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MP-21-0004458,Mixed,Fs,,2,pos,16,1.7,27.2,4,Low,2.0,,,,8,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MP-21-0004444,?,?,,2,pos,68,2.5,170.0,4,Low,2.0,,,,?,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MP-21-0004320 ,American Pit Bull ,Mc,,1,pos,16,2.6,42.0,1,Low,2.0,,,,9,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MP-21-0004311,Boxer,Fs,,2,pos,59,1.9,112.1,4,High,3.0,,,,5,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MP-21-0004299,?,Fs,,2,pos,36,2.9,105.4,2,High,2.0,,,,9,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MP-21-0004288,Labrador,M,,2,pos,60,3.0,182.6,5,High,2.0,,,,10,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MP-21-0004163 ,Dachshund,Fs,,2,pos,55,2.9,158.9,,High,3.0,,,,11,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MP-21-0004140 ,Golden Retriever,M,,2,pos,65,3.3,214.2,3,High,3.0,,,,4,mc,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MP-21-0003900,?,?,,2,pos,35,2.0,70.0,4,Low,2.0,,,,?,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MP-21-0002488,Miniature Schnauzer,Fs,,2,pos,18,1.5,27.0,4,High,3.0,,,,10,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MP-21-0002433 ,Doberman Pinscher,Fs,,2,pos,28,1.5,42.0,4,High,3.0,,,,11,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MP-21-0002389 ,Chesapeake Bay Retriever,Mc,,2,pos,14,1.4,19.6,4,Low,2.0,,,,7,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MP-21-0002348 ,French Bulldog,Mc,,2,pos,23,2.4,55.2,4,Low,2.0,,,,9,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MP-21-0002300 ,Jack Russell Terrier,M,,2,pos,11,1.9,20.9,4,Low,2.0,,,,5,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MP-21-0000852 ,Labrador Retriever,Mc,,2,pos,14,1.8,56.5,4,High,2.0,,,,4,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MP-21-0000659 ,Bichon Frise,Fs,,2,pos,19,2.6,49.4,4,Low,2.0,,,,3,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MP-21-0000648 ,American Pit Bull ,?,,2,pos,39,2.2,85.8,4,High,2.0,,,,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MP-21-0000604,?,Mc,,2,pos,16,1.5,24.0,4,Low,2.0,,,,9,sc,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MP-21-0000585,Maltese Dog,Fs,,2,pos,10,1.6,16.0,4,High,2.0,,,,4,sc,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MP-21-0000518,?,Fs,,2,pos,35,2.0,70.0,4,High,2.0,,,,7,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MP-20-0014084,Maltese Dog,Fs,,2,pos,85,2.2,187.0,4,High,3.0,,,,7,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MP-20-0012053,Mixed,Mc,,2,pos,12,2.4,28.8,4,High,3.0,,,,9,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MP-20-0009016,Poodle,Mc,,2,pos,11,1.8,19.8,4,Low,2.0,,,,10,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MP-20-0008986 ,French Bulldog,Mc,,2,pos,45,2.0,90.0,4,High,2.0,,,,6,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MP-20-0008897 ,Boston Terrier,Fs,,2,pos,31,3.0,93.0,5,High,2.0,,,,6,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MP-20-0008886 ,Mixed ,Fs,,2,pos,40,3.0,120.0,4,High,2.0,,,,6,sc,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MP-20-0008774,?,?,,2,pos,62,3.5,217.6,4,Low,2.0,,,,?,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
